clearing_day,market,product,contract,tdate,bartime,mask,open,high,low,close,volume,value,vwap,market_cn,year
20201110,XDCE,I,I2107,20201109,22:00,5,0,735.5,0,735.5,1,73550,735.5,大商所,2020
20201110,XDCE,JD,JD2104,20201110,09:01,5,0,3693.0,0,3690.0,3,110770,3692.33,大商所,2020
20201110,XDCE,L,L2103,20201109,21:01,5,0,7395.0,0,7395.0,21,777675,7406.43,大商所,2020
20201110,XDCE,L,L2104,20201109,21:01,5,0,7390.0,0,7380.0,18,664850,7387.22,大商所,2020
20201110,XDCE,P,P2104,20201109,21:02,5,0,6252.0,0,6252.0,5,312500,6250.0,大商所,2020
20201110,XDCE,PG,PG2102,20201109,21:01,5,0,3525.0,0,3497.0,44,3084340,3504.93,大商所,2020
20201110,XDCE,V,V2104,20201109,21:01,5,0,6995.0,0,6995.0,3,105200,7013.33,大商所,2020
20201110,XDCE,Y,Y2108,20201109,21:02,5,0,6898.0,0,6898.0,5,344900,6898.0,大商所,2020
20201111,XDCE,J,J2012,20201111,10:31,5,0,2450.0,0,2450.0,1,245000,2450.0,大商所,2020
20201111,XDCE,JM,JM2104,20201110,21:05,5,0,1283.5,0,1283.5,14,1077780,1283.07,大商所,2020
20201111,XDCE,L,L2104,20201110,21:02,5,0,7285.0,0,7285.0,2,72850,7285.0,大商所,2020
20201111,XDCE,P,P2103,20201110,21:03,5,0,6352.0,0,6350.0,5,317520,6350.4,大商所,2020
20201111,XDCE,P,P2104,20201110,21:02,5,0,6256.0,0,6256.0,5,312800,6256.0,大商所,2020
20201112,XDCE,CS,CS2103,20201111,21:01,5,0,2868.0,0,2862.0,22,630480,2865.82,大商所,2020
20201112,XDCE,EG,EG2102,20201111,21:01,5,0,3817.0,0,3813.0,89,3395850,3815.56,大商所,2020
20201112,XDCE,I,I2012,20201111,21:02,5,0,871.0,0,871.0,130,11327700,871.362,大商所,2020
20201112,XDCE,J,J2104,20201111,21:01,5,0,2200.5,0,2200.5,31,6821700,2200.55,大商所,2020
20201112,XDCE,P,P2104,20201111,21:04,5,0,6396.0,0,6396.0,12,766840,6390.33,大商所,2020
20201112,XDCE,P,P2107,20201111,22:25,5,0,6112.0,0,6112.0,1418,86626880,6109.09,大商所,2020
20201112,XDCE,PP,PP2103,20201111,21:01,5,0,7846.0,0,7844.0,61,2393440,7847.34,大商所,2020
20201112,XDCE,Y,Y2108,20201111,21:08,5,0,6986.0,0,6986.0,1,69860,6986.0,大商所,2020
20201113,XDCE,I,I2107,20201113,11:30,5,0,730.0,0,730.0,4,292000,730.0,大商所,2020
20201113,XDCE,P,P2104,20201112,21:16,5,0,6442.0,0,6442.0,5,322120,6442.4,大商所,2020
20201113,XDCE,PG,PG2103,20201112,21:01,5,0,3465.0,0,3465.0,13,902220,3470.08,大商所,2020
20201113,XDCE,V,V2103,20201112,21:01,5,0,6785.0,0,6785.0,7,237625,6789.29,大商所,2020
20201116,XDCE,EB,EB2103,20201113,21:01,5,0,7026.0,0,7026.0,20,699580,6995.8,大商所,2020
20201116,XDCE,I,I2104,20201113,21:02,5,0,778.0,0,778.0,11,855500,777.727,大商所,2020
20201116,XDCE,JM,JM2102,20201113,21:02,5,0,1354.0,0,1353.0,16,1298910,1353.03,大商所,2020
20201116,XDCE,JM,JM2103,20201113,21:05,5,0,1339.0,0,1339.0,7,561120,1336.0,大商所,2020
20201116,XDCE,JM,JM2104,20201113,21:05,5,0,1337.0,0,1337.0,1,80220,1337.0,大商所,2020
20201116,XDCE,M,M2108,20201113,21:01,5,0,3186.0,0,3186.0,7,223040,3186.29,大商所,2020
20201116,XDCE,PG,PG2104,20201113,21:02,5,0,3361.0,0,3361.0,2,134500,3362.5,大商所,2020
20201116,XDCE,PP,PP2103,20201113,21:04,5,0,8016.0,0,7996.0,11,439840,7997.09,大商所,2020
20201116,XDCE,V,V2103,20201113,21:01,5,0,6945.0,0,6940.0,24,833600,6946.67,大商所,2020
20201116,XDCE,V,V2104,20201113,21:02,5,0,6910.0,0,6910.0,3,103650,6910.0,大商所,2020
20201116,XDCE,Y,Y2108,20201113,21:06,5,0,7018.0,0,7018.0,1,70180,7018.0,大商所,2020
20201117,XDCE,I,I2104,20201116,21:01,5,0,787.0,0,785.5,145,11409400,786.855,大商所,2020
20201117,XDCE,I,I2107,20201117,11:21,5,0,751.5,0,751.5,5,375850,751.7,大商所,2020
20201117,XDCE,J,J2103,20201116,21:02,5,0,2287.5,0,2287.5,18,4118150,2287.86,大商所,2020
20201117,XDCE,JM,JM2103,20201116,21:01,5,0,1319.0,0,1319.0,13,1030830,1321.58,大商所,2020
20201117,XDCE,M,M2103,20201116,21:01,5,0,3150.0,0,3150.0,132,4156590,3148.93,大商所,2020
20201117,XDCE,P,P2104,20201116,21:02,5,0,6478.0,0,6478.0,1,64780,6478.0,大商所,2020
20201117,XDCE,PG,PG2103,20201116,21:01,5,0,3431.0,0,3417.0,16,1094260,3419.56,大商所,2020
20201117,XDCE,PG,PG2104,20201116,21:04,5,0,3394.0,0,3394.0,1,67880,3394.0,大商所,2020
20201117,XDCE,V,V2103,20201116,21:03,5,0,7000.0,0,7000.0,4,139950,6997.5,大商所,2020
20201117,XDCE,Y,Y2108,20201116,21:03,5,0,7084.0,0,7084.0,1,70840,7084.0,大商所,2020
20201118,XDCE,EB,EB2104,20201117,21:01,5,0,7008.0,0,7004.0,35,1226415,7008.09,大商所,2020
20201118,XDCE,J,J2102,20201117,21:01,5,0,2366.0,0,2363.0,71,16769900,2361.96,大商所,2020
