clearing_day,market,market_cn,product,contract,pre_bt,pre_vol,pre_close,pad_bt,pad_close,day0_bt,day0_open,day0_vol,dev_to_day_open,dev_to_padding,closer_to
20230504,XSGE,上期所,AG,AG2306,02:30,1676,5760.0,02:29,5619.0,09:01,5753.0,22401,0.00121675647488267,0.025093432995194873,当日日盘开盘价
20230504,XSGE,上期所,AG,AG2307,02:30,23,5779.0,02:29,5628.0,09:01,5750.0,1342,0.005043478260869565,0.026830135039090264,当日日盘开盘价
20230504,XSGE,上期所,AG,AG2308,02:30,105,5798.0,02:29,5639.0,09:01,5765.0,4061,0.00572419774501301,0.028196488739138145,当日日盘开盘价
20230504,XSGE,上期所,AG,AG2309,02:30,45,5750.0,02:29,5650.0,09:01,5770.0,1035,0.0034662045060658577,0.017699115044247787,当日日盘开盘价
20230504,XSGE,上期所,AG,AG2310,02:30,1,5762.0,02:29,5656.0,09:01,5793.0,117,0.00535128603486967,0.01874115983026874,当日日盘开盘价
20230504,XSGE,上期所,AG,AG2312,02:30,182,5754.0,02:29,5674.0,09:01,5788.0,2905,0.005874222529371113,0.014099400775467043,当日日盘开盘价
20230504,XSGE,上期所,AG,AG2401,02:30,1,5794.0,02:29,5688.0,09:01,5818.0,96,0.004125128910278446,0.018635724331926864,当日日盘开盘价
20230504,XSGE,上期所,AG,AG2403,02:30,1,5795.0,02:29,5692.0,09:01,5824.0,37,0.004979395604395604,0.01809557273366128,当日日盘开盘价
20230504,XSGE,上期所,AG,AG2404,02:30,1,5805.0,02:29,5704.0,09:01,5805.0,16,0.0,0.01770687237026648,当日日盘开盘价
20230504,XSGE,上期所,AL,AL2306,01:00,309,18415.0,00:59,18470.0,09:01,18415.0,4078,0.0,0.002977801840822956,当日日盘开盘价
20230504,XSGE,上期所,AL,AL2307,01:00,155,18425.0,00:59,18435.0,09:01,18405.0,1498,0.0010866612333604998,0.0005424464334147003,padding价(前收盘)
20230504,XSGE,上期所,AU,AU2306,02:30,130,457.66,02:29,444.04,09:01,457.98,3465,0.0006987204681426988,0.030672912350238727,当日日盘开盘价
20230504,XSGE,上期所,AU,AU2308,02:30,161,458.26,02:29,445.2,09:01,458.5,4026,0.0005234460196292456,0.029335130278526512,当日日盘开盘价
20230504,XSGE,上期所,AU,AU2310,02:30,9,459.22,02:29,446.26,09:01,459.2,634,4.355400696872529e-05,0.029041366019809164,当日日盘开盘价
20230504,XSGE,上期所,AU,AU2312,02:30,28,459.12,02:29,447.1,09:01,459.12,544,0.0,0.026884365913665803,当日日盘开盘价
20230504,XSGE,上期所,AU,AU2402,02:30,8,458.56,02:29,447.68,09:01,460.56,47,0.004342539517109605,0.024303073624017145,当日日盘开盘价
20230504,XSGE,上期所,AU,AU2404,02:30,6,457.04,02:29,448.28,09:01,458.5,36,0.0031842966194110785,0.01954135807977168,当日日盘开盘价
20230504,XSGE,上期所,CU,CU2305,01:00,650,66860.0,00:59,67550.0,09:01,66860.0,595,0.0,0.010214655810510733,当日日盘开盘价
20230504,XSGE,上期所,CU,CU2306,01:00,609,66850.0,00:59,67410.0,09:01,66870.0,4182,0.0002990877822640945,0.008307372793354102,当日日盘开盘价
20230504,XSGE,上期所,CU,CU2307,01:00,69,66710.0,00:59,67320.0,09:01,66750.0,1373,0.000599250936329588,0.009061200237670826,当日日盘开盘价
20230504,XSGE,上期所,CU,CU2308,01:00,3,66640.0,00:59,67220.0,09:01,66640.0,254,0.0,0.008628384409401963,当日日盘开盘价
20230504,XSGE,上期所,CU,CU2309,01:00,3,66660.0,00:59,67180.0,09:01,66660.0,199,0.0,0.007740398928252456,当日日盘开盘价
20230504,XSGE,上期所,CU,CU2310,01:00,2,66570.0,00:59,67010.0,09:01,66570.0,15,0.0,0.006566184151619161,当日日盘开盘价
20230504,XSGE,上期所,NI,NI2305,01:00,54,189520.0,00:59,189100.0,09:01,189520.0,0,0.0,0.0022210470650449498,当日日盘开盘价
20230504,XSGE,上期所,NI,NI2306,01:00,189,185020.0,00:59,182320.0,09:01,184970.0,3508,0.00027031410498999837,0.014809126810004387,当日日盘开盘价
20230504,XSGE,上期所,NI,NI2307,01:00,132,180000.0,00:59,178000.0,09:01,180360.0,1027,0.001996007984031936,0.011235955056179775,当日日盘开盘价
20230504,XSGE,上期所,PB,PB2306,01:00,228,15270.0,00:59,15255.0,09:01,15250.0,4844,0.0013114754098360656,0.0009832841691248771,padding价(前收盘)
20230504,XSGE,上期所,PB,PB2307,01:00,12,15220.0,00:59,15245.0,09:01,15205.0,974,0.0009865175928970734,0.0016398819285011479,当日日盘开盘价
20230504,XSGE,上期所,SN,SN2305,01:00,10,211680.0,00:59,211680.0,09:01,211680.0,0,0.0,0.0,padding价(前收盘)
20230504,XSGE,上期所,SN,SN2306,01:00,775,212010.0,00:59,212380.0,09:01,212180.0,2657,0.0008012065227636912,0.0017421602787456446,当日日盘开盘价
20230504,XSGE,上期所,SN,SN2307,01:00,10,213110.0,00:59,212390.0,09:01,213100.0,793,4.692632566870014e-05,0.0033899901125288385,当日日盘开盘价
20230504,XSGE,上期所,SN,SN2309,01:00,1,211190.0,00:59,211740.0,09:01,212350.0,25,0.0054626795384977635,0.0025975252668366867,padding价(前收盘)
20230504,XSGE,上期所,SS,SS2305,01:00,396,15545.0,00:59,15625.0,09:01,15545.0,0,0.0,0.00512,当日日盘开盘价
20230504,XSGE,上期所,SS,SS2306,01:00,86,15330.0,00:59,15300.0,09:01,15350.0,3385,0.0013029315960912053,0.00196078431372549,当日日盘开盘价
20230504,XSGE,上期所,SS,SS2307,01:00,11,15130.0,00:59,15105.0,09:01,15130.0,1043,0.0,0.0016550810989738498,当日日盘开盘价
20230504,XSGE,上期所,SS,SS2309,01:00,397,14905.0,00:59,14850.0,09:01,14930.0,148,0.0016744809109176155,0.003703703703703704,当日日盘开盘价
20230504,XSGE,上期所,ZN,ZN2306,01:00,281,21195.0,00:59,21280.0,09:01,21200.0,5089,0.0002358490566037736,0.003994360902255639,当日日盘开盘价
20230504,XSGE,上期所,ZN,ZN2307,01:00,1505,21100.0,00:59,21095.0,09:01,21050.0,936,0.0023752969121140144,0.00023702299123014932,padding价(前收盘)
20230504,XSIE,能源中心,BC,BC2307,01:00,56,59200.0,00:59,59660.0,09:01,59200.0,252,0.0,0.0077103586992960105,当日日盘开盘价
20230504,XSIE,能源中心,BC,BC2308,01:00,152,59000.0,00:59,59660.0,09:01,59170.0,119,0.0028730775730944737,0.011062688568555145,当日日盘开盘价
20230504,XSIE,能源中心,SC,SC2306,02:30,147,488.0,02:29,531.7,09:01,489.4,3760,0.0028606456885982372,0.08218920443859327,当日日盘开盘价
20230504,XSIE,能源中心,SC,SC2307,02:30,230,491.0,02:29,532.0,09:01,491.0,1642,0.0,0.07706766917293233,当日日盘开盘价
20230504,XSIE,能源中心,SC,SC2308,02:30,9,497.8,02:29,531.5,09:01,491.6,234,0.012611879576891758,0.06340545625587957,当日日盘开盘价
20230504,XSIE,能源中心,SC,SC2309,02:30,2,498.9,02:29,532.1,09:01,490.6,117,0.016918059518956287,0.06239428678819779,当日日盘开盘价
20230504,XSIE,能源中心,SC,SC2312,02:30,1,501.8,02:29,533.0,09:01,501.8,1,0.0,0.058536585365853634,当日日盘开盘价
20240102,XSGE,上期所,AG,AG2402,02:30,1495,5972.0,02:30,5976.0,09:01,5976.0,0,0.0006693440428380187,0.0006693440428380187,padding价(前收盘)
20240102,XSGE,上期所,AG,AG2403,02:30,1,5972.0,02:30,5981.0,09:01,5981.0,0,0.0015047650894499248,0.0015047650894499248,padding价(前收盘)
20240102,XSGE,上期所,AG,AG2404,02:30,11626,5970.0,02:30,5989.0,09:01,5989.0,0,0.003172482885289698,0.003172482885289698,padding价(前收盘)
20240102,XSGE,上期所,AG,AG2405,02:30,15,5989.0,02:30,5997.0,09:01,5997.0,0,0.0013340003335000834,0.0013340003335000834,padding价(前收盘)
20240102,XSGE,上期所,AG,AG2406,02:30,135,5995.0,02:30,5999.0,09:01,5999.0,0,0.0006667777962993832,0.0006667777962993832,padding价(前收盘)
20240102,XSGE,上期所,AG,AG2409,02:30,1,6024.0,02:30,6019.0,09:01,6019.0,0,0.000830702774547267,0.000830702774547267,padding价(前收盘)
20240102,XSGE,上期所,AG,AG2410,02:30,3,6033.0,02:30,6034.0,09:01,6034.0,0,0.00016572754391779913,0.00016572754391779913,padding价(前收盘)
20240102,XSGE,上期所,AL,AL2402,01:00,264,19525.0,01:00,19505.0,09:01,19505.0,0,0.0010253781081773904,0.0010253781081773904,padding价(前收盘)
20240102,XSGE,上期所,AL,AL2403,01:00,10,19465.0,01:00,19465.0,09:01,19465.0,0,0.0,0.0,padding价(前收盘)
20240102,XSGE,上期所,AL,AL2404,01:00,12,19375.0,01:00,19440.0,09:01,19440.0,0,0.0033436213991769547,0.0033436213991769547,padding价(前收盘)
20240102,XSGE,上期所,AO,AO2402,01:00,192,3354.0,,0.0,09:01,3354.0,2311,0.0,,padding价(前收盘)
20240102,XSGE,上期所,AO,AO2403,01:00,16733,3359.0,,0.0,09:01,3360.0,974,0.00029761904761904765,,padding价(前收盘)
20240102,XSGE,上期所,AO,AO2405,01:00,1,3310.0,,0.0,09:01,3309.0,12,0.0003022061045633122,,padding价(前收盘)
20240102,XSGE,上期所,AU,AU2402,02:30,57,481.24,02:30,481.7,09:01,481.7,0,0.0009549512144487846,0.0009549512144487846,padding价(前收盘)
20240102,XSGE,上期所,AU,AU2404,02:30,34,482.06,02:30,482.16,09:01,482.16,0,0.00020740003318405246,0.00020740003318405246,padding价(前收盘)
20240102,XSGE,上期所,AU,AU2406,02:30,5,482.88,02:30,483.08,09:01,483.08,0,0.0004140101018464615,0.0004140101018464615,padding价(前收盘)
20240102,XSGE,上期所,AU,AU2408,02:30,6,483.94,02:30,484.08,09:01,484.08,0,0.00028920839530653273,0.00028920839530653273,padding价(前收盘)
20240102,XSGE,上期所,AU,AU2410,02:30,1,484.3,02:30,484.62,09:01,484.62,0,0.0006603111716396212,0.0006603111716396212,padding价(前收盘)
